oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
KLM,2019-09-04,18PBU040,L_CAMP_PBNA1,L_CAMP_PBNA1_O_XYX,L_CAMP_PBNA1_O_XYX,72051,72051,1,1625,150,430,newXYX
KLM,2019-09-04,18PBU040,L_CAMP_PBNA2,L_CAMP_PBNA2_O_XYX,L_CAMP_PBNA2_O_XYX,72051,72051,2,1625,150,430,newXYX
KLM,2019-09-04,18PBU040,L_CAMP_PBNA3,L_CAMP_PBNA3_O_XYX,L_CAMP_PBNA3_O_XYX,72051,72051,3,1625,150,430,newXYX
KLM,2019-09-04,18SPT055,L_PANTAI_HARAPAN_SM1,L_PANTAI_HARAPAN_SM1_O_XYX,L_PANTAI_HARAPAN_SM1_O_XYX,72135,72135,1,1625,150,448,newXYX
KLM,2019-09-04,18SPT055,L_PANTAI_HARAPAN_SM2,L_PANTAI_HARAPAN_SM2_O_XYX,L_PANTAI_HARAPAN_SM2_O_XYX,72135,72135,2,1625,150,448,newXYX
KLM,2019-09-04,18SPT055,L_PANTAI_HARAPAN_SM3,L_PANTAI_HARAPAN_SM3_O_XYX,L_PANTAI_HARAPAN_SM3_O_XYX,72135,72135,3,1625,150,448,newXYX
KLM,2019-09-04,18SPT055,T_PANTAI_HARAPAN_SM1,T_PANTAI_HARAPAN_SM1_O_XYX,T_PANTAI_HARAPAN_SM1_O_XYX,72135,72135,4,3676,50,430,newXYX
KLM,2019-09-04,18SPT055,T_PANTAI_HARAPAN_SM2,T_PANTAI_HARAPAN_SM2_O_XYX,T_PANTAI_HARAPAN_SM2_O_XYX,72135,72135,5,3676,50,430,newXYX
KLM,2019-09-04,18SPT055,T_PANTAI_HARAPAN_SM3,T_PANTAI_HARAPAN_SM3_O_XYX,T_PANTAI_HARAPAN_SM3_O_XYX,72135,72135,6,3676,50,430,newXYX
KLM,2019-09-04,18PBU017,E_KELURAHAN_BARU_TB1,E_KELURAHAN_BARU_TB1_O_XYX,E_KELURAHAN_BARU_TB1_O_XYX,72303,72303,1,476,50,430,newXYX
KLM,2019-09-04,18PBU017,E_KELURAHAN_BARU_TB2,E_KELURAHAN_BARU_TB2_O_XYX,E_KELURAHAN_BARU_TB2_O_XYX,72303,72303,2,476,50,430,newXYX
KLM,2019-09-04,18PBU017,E_KELURAHAN_BARU_TB3,E_KELURAHAN_BARU_TB3_O_XYX,E_KELURAHAN_BARU_TB3_O_XYX,72303,72303,3,476,50,430,newXYX
KLM,2019-09-04,18PBU033,E_JL_AM_RAFIFI1,E_JL_AM_RAFIFI1_O_XYX,E_JL_AM_RAFIFI1_O_XYX,72316,72316,1,474,50,430,newXYX
KLM,2019-09-04,18PBU033,E_JL_AM_RAFIFI2,E_JL_AM_RAFIFI2_O_XYX,E_JL_AM_RAFIFI2_O_XYX,72316,72316,2,474,50,430,newXYX
KLM,2019-09-04,18PBU033,E_JL_AM_RAFIFI3,E_JL_AM_RAFIFI3_O_XYX,E_JL_AM_RAFIFI3_O_XYX,72316,72316,3,474,50,430,newXYX
KLM,2019-09-04,18PBU020,E_KUMAI_HULU_TB1,E_KUMAI_HULU_TB1_O_XYX,E_KUMAI_HULU_TB1_O_XYX,72323,72323,1,474,50,430,newXYX
KLM,2019-09-04,18PBU020,E_KUMAI_HULU_TB2,E_KUMAI_HULU_TB2_O_XYX,E_KUMAI_HULU_TB2_O_XYX,72323,72323,2,474,50,430,newXYX
KLM,2019-09-04,18PBU020,E_KUMAI_HULU_TB3,E_KUMAI_HULU_TB3_O_XYX,E_KUMAI_HULU_TB3_O_XYX,72323,72323,3,474,50,430,newXYX
KLM,2019-09-04,18PBU022,E_ARUT_SELATAN_TB1,E_ARUT_SELATAN_TB1_O_XYX,E_ARUT_SELATAN_TB1_O_XYX,72439,72439,1,476,50,430,newXYX
KLM,2019-09-04,18PBU022,E_ARUT_SELATAN_TB2,E_ARUT_SELATAN_TB2_O_XYX,E_ARUT_SELATAN_TB2_O_XYX,72439,72439,2,476,50,430,newXYX
KLM,2019-09-04,18PBU022,E_ARUT_SELATAN_TB3,E_ARUT_SELATAN_TB3_O_XYX,E_ARUT_SELATAN_TB3_O_XYX,72439,72439,3,476,50,430,newXYX
