oss,xdate,SITE_ID,yesterdayName,todayName,RNC,WBTS,WCEL,IPNBId,PtxCellMax,MBLBStateTransEnabled,Remark
JAV,2019-09-04,14SMG324,U_TAMBAKAJI_SMG_TB6,U_TAMBAKAJI_SMG_TB6_O_XYX,1140,3200,32006,3200,460,1,newXYX
JAV,2019-09-04,14SMG325,U_BANARAN_SMG_TB4,U_BANARAN_SMG_TB4_O_XYX,1140,3203,32034,3203,460,1,newXYX
JAV,2019-09-04,14SMG325,U_BANARAN_SMG_TB5,U_BANARAN_SMG_TB5_O_XYX,1140,3203,32035,3203,460,1,newXYX
JAV,2019-09-04,14SMG325,U_BANARAN_SMG_TB6,U_BANARAN_SMG_TB6_O_XYX,1140,3203,32036,3203,460,1,newXYX
JAV,2019-09-04,14SMG326,U_GANGDUA_SMG_ST1,U_GANGDUA_SMG_ST1_O_XYX,1140,3206,32061,3206,460,1,newXYX
JAV,2019-09-04,14SMG326,U_GANGDUA_SMG_ST2,U_GANGDUA_SMG_ST2_O_XYX,1140,3206,32062,3206,460,1,newXYX
JAV,2019-09-04,14SMG326,U_GANGDUA_SMG_ST3,U_GANGDUA_SMG_ST3_O_XYX,1140,3206,32063,3206,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB1,U_BANJARSARI_SMG_TB1_O_XYX,1140,3221,32211,3221,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB2,U_BANJARSARI_SMG_TB2_O_XYX,1140,3221,32212,3221,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB3,U_BANJARSARI_SMG_TB3_O_XYX,1140,3221,32213,3221,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB4,U_BANJARSARI_SMG_TB4_O_XYX,1140,3221,32214,3221,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB5,U_BANJARSARI_SMG_TB5_O_XYX,1140,3221,32215,3221,460,1,newXYX
JAV,2019-09-04,14SMG327,U_BANJARSARI_SMG_TB6,U_BANJARSARI_SMG_TB6_O_XYX,1140,3221,32216,3221,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB1,U_GRIBIK_SMG_TB1_O_XYX,1140,3231,32311,3231,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB2,U_GRIBIK_SMG_TB2_O_XYX,1140,3231,32312,3231,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB3,U_GRIBIK_SMG_TB3_O_XYX,1140,3231,32313,3231,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB4,U_GRIBIK_SMG_TB4_O_XYX,1140,3231,32314,3231,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB5,U_GRIBIK_SMG_TB5_O_XYX,1140,3231,32315,3231,460,1,newXYX
JAV,2019-09-04,14SMG329,U_GRIBIK_SMG_TB6,U_GRIBIK_SMG_TB6_O_XYX,1140,3231,32316,3231,460,1,newXYX
JAV,2019-09-04,14KND016,U_SUMBERJO_KND_IB4,U_SUMBERJO_KND_IB4_O_XYX,1140,3248,32484,3248,460,1,newXYX
JAV,2019-09-04,14KND016,U_SUMBERJO_KND_IB5,U_SUMBERJO_KND_IB5_O_XYX,1140,3248,32485,3248,460,1,newXYX
JAV,2019-09-04,14KND016,U_SUMBERJO_KND_IB6,U_SUMBERJO_KND_IB6_O_XYX,1140,3248,32486,3248,460,1,newXYX
JAV,2019-09-04,14SMG231,U_TIRANGTAPAK_IB1,U_TIRANGTAPAK_IB1_O_XYX,1140,3347,20177,3347,460,1,newXYX
